year,fips,locality,source,type,rate
2011,51001,Accomack,ED,ED Heroin Overdose,0
2011,51003,Albemarle,ED,ED Heroin Overdose,0
2011,51005,Alleghany,ED,ED Heroin Overdose,0
2011,51007,Amelia,ED,ED Heroin Overdose,0
2011,51009,Amherst,ED,ED Heroin Overdose,0
2011,51011,Appomattox,ED,ED Heroin Overdose,0
2011,51013,Arlington,ED,ED Heroin Overdose,0
2011,51015,Augusta,ED,ED Heroin Overdose,0
2011,51017,Bath,ED,ED Heroin Overdose,0
2011,51019,Bedford,ED,ED Heroin Overdose,0
2011,51021,Bland,ED,ED Heroin Overdose,0
2011,51023,Botetourt,ED,ED Heroin Overdose,0
2011,51025,Brunswick,ED,ED Heroin Overdose,0
2011,51027,Buchanan,ED,ED Heroin Overdose,0
2011,51029,Buckingham,ED,ED Heroin Overdose,0
2011,51031,Campbell,ED,ED Heroin Overdose,0
2011,51033,Caroline,ED,ED Heroin Overdose,0
2011,51035,Carroll,ED,ED Heroin Overdose,0
2011,51036,Charles City,ED,ED Heroin Overdose,0
2011,51037,Charlotte,ED,ED Heroin Overdose,0
2011,51041,Chesterfield,ED,ED Heroin Overdose,0
2011,51043,Clarke,ED,ED Heroin Overdose,0
2011,51045,Craig,ED,ED Heroin Overdose,0
2011,51047,Culpeper,ED,ED Heroin Overdose,0
2011,51049,Cumberland,ED,ED Heroin Overdose,0
2011,51051,Dickenson,ED,ED Heroin Overdose,0
2011,51053,Dinwiddie,ED,ED Heroin Overdose,0
2011,51057,Essex,ED,ED Heroin Overdose,0
2011,51059,Fairfax,ED,ED Heroin Overdose,0
2011,51061,Fauquier,ED,ED Heroin Overdose,0
2011,51063,Floyd,ED,ED Heroin Overdose,0
2011,51065,Fluvanna,ED,ED Heroin Overdose,0
2011,51067,Franklin County,ED,ED Heroin Overdose,0
2011,51069,Frederick,ED,ED Heroin Overdose,0
2011,51071,Giles,ED,ED Heroin Overdose,0
2011,51073,Gloucester,ED,ED Heroin Overdose,0
2011,51075,Goochland,ED,ED Heroin Overdose,0
2011,51077,Grayson,ED,ED Heroin Overdose,0
2011,51079,Greene,ED,ED Heroin Overdose,0
2011,51081,Greensville,ED,ED Heroin Overdose,0
2011,51083,Halifax,ED,ED Heroin Overdose,0
2011,51085,Hanover,ED,ED Heroin Overdose,0
2011,51087,Henrico,ED,ED Heroin Overdose,0
2011,51089,Henry,ED,ED Heroin Overdose,0
2011,51091,Highland,ED,ED Heroin Overdose,0
2011,51093,Isle of Wight,ED,ED Heroin Overdose,0
2011,51095,James City,ED,ED Heroin Overdose,0
2011,51097,King and Queen,ED,ED Heroin Overdose,0
2011,51099,King George,ED,ED Heroin Overdose,0
2011,51101,King William,ED,ED Heroin Overdose,0
2011,51103,Lancaster,ED,ED Heroin Overdose,0
2011,51105,Lee,ED,ED Heroin Overdose,0
2011,51107,Loudoun,ED,ED Heroin Overdose,0
2011,51109,Louisa,ED,ED Heroin Overdose,0
2011,51111,Lunenburg,ED,ED Heroin Overdose,0
2011,51113,Madison,ED,ED Heroin Overdose,0
2011,51115,Mathews,ED,ED Heroin Overdose,0
2011,51117,Mecklenburg,ED,ED Heroin Overdose,0
2011,51119,Middlesex,ED,ED Heroin Overdose,0
2011,51121,Montgomery,ED,ED Heroin Overdose,0
2011,51125,Nelson,ED,ED Heroin Overdose,0
2011,51127,New Kent,ED,ED Heroin Overdose,0
2011,51131,Northampton,ED,ED Heroin Overdose,0
2011,51133,Northumberland,ED,ED Heroin Overdose,0
2011,51135,Nottoway,ED,ED Heroin Overdose,0
2011,51137,Orange,ED,ED Heroin Overdose,0
2011,51139,Page,ED,ED Heroin Overdose,0
2011,51141,Patrick,ED,ED Heroin Overdose,0
2011,51143,Pittsylvania,ED,ED Heroin Overdose,0
2011,51145,Powhatan,ED,ED Heroin Overdose,0
2011,51147,Prince Edward,ED,ED Heroin Overdose,0
2011,51149,Prince George,ED,ED Heroin Overdose,0
2011,51153,Prince William,ED,ED Heroin Overdose,0
2011,51155,Pulaski,ED,ED Heroin Overdose,0
2011,51157,Rappahannock,ED,ED Heroin Overdose,0
2011,51159,Richmond County,ED,ED Heroin Overdose,0
2011,51161,Roanoke County,ED,ED Heroin Overdose,0
2011,51163,Rockbridge,ED,ED Heroin Overdose,0
2011,51165,Rockingham,ED,ED Heroin Overdose,0
2011,51167,Russell,ED,ED Heroin Overdose,0
2011,51169,Scott,ED,ED Heroin Overdose,0
2011,51171,Shenandoah,ED,ED Heroin Overdose,0
2011,51173,Smyth,ED,ED Heroin Overdose,0
